episode-act,percentMaleProducers,totalProducerCount,percentMaleSubjectDialogue,maleSubjectWordCount,totalSubjectWordCount,episode,act,title,contributors,description
583.01,0.0,1.0,100.0,668.0,668.0,583,0.01,Act One. Adolescence.,Hillary Frank,"
 Reporter Hillary Frank finds out there is this tradition going on in her town, where big kids take over younger kids’ parties—and she investigates how one kid goes from freaked out to an instigator. Hillary hosts the podcast The Longest Shortest Time. (9 1/2 minutes)  
High School Hillary Frank
 "
583.03,0.0,1.0,100.0,344.0,344.0,583,0.03,Act Three. Middle Age.,Chana Joffe-Walt,"
Host Chana Joffe-Walt worries she’ll have regrets in 20 years. So she finds someone 20 years older than she is to gauge how bad it gets. (5 minutes)Regret Chana Joffe-Walt
 
Song:
""Non, Je Ne Regrette Rien"", Edith Piaf
 
"
585.02,100.0,1.0,100.0,778.0,778.0,585,0.02,Act Two. Ignorance for Dummies.,Sean Cole,"
Producer Sean Cole tells the story of a psychological experiment that proved ignorance is, in fact, bliss. (10 minutes)Psychology Sean Cole
 "
587.02,100.0,1.0,100.0,1381.0,1381.0,587,0.02,Act Two. Why Can’t We Be Friends?,Neil Drumming,"
Producer Neil Drumming conducts an experiment to find out: can two adults, both new in town, become friends, with the right help? (16 minutes)Friendship Neil Drumming
 "
588.03,100.0,2.0,100.0,1640.0,1640.0,588,0.03,Act Three. Lonely Hearts Club Band...Of One.,"David Berkeley, Ira Glass","
Musician David Berkeley has gotten a lot of requests in his life, but none quite like the offer his agent got last year. A fan wanted Berkeley to come to his house and help save his relationship by serenading the troubled couple with a personal concert. Ira Glass talks to Berkeley about why he took the gig, and what happened when he got there. Berkeley's newest album is called Cardboard Boat. (12 minutes)Music • Relationships David Berkeley
Ira Glass
 "
589.02,0.0,1.0,100.0,112.0,112.0,589,0.02,Act Two. It’s a Small World After All.,Elna Baker,"
Elna Baker lost a lot of weight, 110 pounds. When she was fat, she wasn’t able to get a job or a boyfriend and sometimes thought, “I wonder if it’s my weight.” She figured no, that’s a bad attitude, paranoia. When she lost the weight she discovered it was ALL because of her weight. A book Elna discusses in this story is Dietland by Sarai Walker. (19 minutes) Elna Baker
 "
590.02,66.6666666667,3.0,100.0,2518.0,2518.0,590,0.02,Act Two. Poll Dance.,"Harry Enten, Ira Glass, Zoe Chace","
Ira talks to Tom, who regrets his vote on Brexit this week. And Zoe Chace talks to Harry Enten, a senior analyst at the website FiveThirtyEight, about Donald Trump. When Trump announced his campaign for the presidency in June 2015, pundits dismissed him and pollsters said the numbers proved he'd never win the nomination. Only that's not at all what they showed! Trump was in the lead. Enten explains what they all missed. (13 minutes)
Politics • Presidents Harry Enten
Ira Glass
Zoe Chace
 
Song:
""Great Again"", Chaptabois
 
"
590.03,100.0,1.0,100.0,5.0,5.0,590,0.03,Act Three. Post-It Not.,Kurt Braunohler,"
Comedian Kurt Braunohler makes a wrong choice, for his own amusement. (2 minutes)Comedy • Funny • Relationships Kurt Braunohler
 
Song:
""Numbers Don't Lie"", The Mynabirds
 
"
512.02,0.0,1.0,100.0,84.0,84.0,512,0.02,Act Two. The Missionary.,Nikole Hannah-Jones,"Once the Fair Housing Act became law in 1968, there was some question about how to implement it and enforce it. George Romney, the former Republican Governor of Michigan and newly-appointed Secretary of HUD, was a true believer in the need to make the Fair Housing Law a powerful one — a robust attempt to change the course of the nation's racial segregation. Only problem was: President Richard Nixon didn't necessarily see it that way. With Nikole Hannah-Jones, Nancy Updike continues the story. (16 minutes)"
500.01,20.0,5.0,100.0,2260.0,2260.0,500,0.01,Act One.,"Josh Bearman, Julie Snyder, Nancy Updike, Robyn Semien, Sarah Koenig",Julie Snyder talks about a favorite passage from Sarah Vowell's story in episode 107: Trail of Tears:
377.03,100.0,1.0,100.0,1611.0,1611.0,377,0.03,Act Three. Short-circuit City,Ira Glass,"
We hear 5 employees of different Circuit City store locations read their accounts of what it was like when the largest electronics chain in the US had less than 2 months to liquidate its entire inventory and close its doors. (12 minutes) Jobs/Employment • Retail/Commerce Ira Glass
 "
414.01,100.0,1.0,100.0,1517.0,1517.0,414,0.01,Act One. The First Rule of the Apple Store: Don't Talk About the Apple Store.,Ben Calhoun,"
One day, Joe Lipari had a frustrating encounter with a worker at the Apple Store. And then Joe did what a lot of us would do: He vented. But he vented in a way that ended up having some serious repercussions. Producer Ben Calhoun tells the story. (16 minutes)Film/Film Making • Police • Technology Ben Calhoun
 
Song:
""You, You're Awesome"", Do Make Say Think
 
"
405.02,100.0,1.0,100.0,949.0,949.0,405,0.02,Act Two. Taking a Big Pink Eraser to the Thin Blue Line,Michael May,"
Michael May tells the story of Barry Cooper, a former crooked narcotics cop who has turned his interest elsewhere...to busting crooked narcotics cops. But after Cooper and a rich benefactor team up to set a trap for the police, Barry's plans are put in jeopardy—including his dream of creating a reality show called ""Kop Busters."" Michael May is the Culture editor at the Texas Observer. You can watch videos of Barry's police raids at their website. (15 minutes)Crime • Drugs • Police • Television Michael May
 
Song:
""Good Guys and Bad Guys"", Camper Van Beethoven
 
"
406.03,0.0,1.0,100.0,1149.0,1149.0,406,0.03,Act Three. Sleeper Cell. ,Ira Glass,
407.01,100.0,1.0,100.0,1446.0,1446.0,407,0.01,Act One. Troubled Bridge Over Water.,Mike Paterniti,
407.02,0.0,1.0,100.0,70.0,70.0,407,0.02,Act Two. Bridge and Tunnel.,Nancy Updike,"
In the Middle East, hundreds and hundreds of tunnels connect the Gaza strip and Egypt, allowing supplies to bypass the Israeli blockade against Hamas-controlled Gaza. Producer Nancy Updike speaks with Ira about the tunnels, and plays tape from an interview she conducted with a tunnel owner. (15 minutes)Death • Retail/Commerce Nancy Updike
 
Song:
""Colonel Bogey (from Bridge Over the River Kwai)"", L'Orchestra Cinematic
 
"
408.03,100.0,1.0,100.0,20.0,20.0,408,0.03,Act Three. Haiti is Destiny.,,"
Short story writer Ben Fountain tours Port au Prince with his best friend—one of the few eye doctors in the country—and glimpses a cautionary future for us all. Ben Fountain is the author of the short story collection Brief Encounters with Che Guevera. (13 minutes)Natural Disasters • Travel 
Song:
""Exhibit H"", Joell Ortiz
 
"
412.03,0.0,1.0,100.0,879.0,879.0,412,0.03,Act Three. Get Rich or Die Trying.,"Chana Joffe-Walt, Planet Money","
Planet Money's Chana Joffe-Walt has this story about a really ambitious million dollar idea: Getting people to see the good side of death. Planet Money is a collaboration between NPR and This American Life. Check out their blog and twice weekly podcast. (15 minutes)
Death • Drugs • Economics Chana Joffe-Walt
Planet Money
 
Song:
""Winners Never Quit"", Pedro the Lion
 
"
413.02,100.0,1.0,100.0,600.0,600.0,413,0.02,Hall County.,Eugene Mirman,"
Comedian Eugene Mirman meets three friends all named Matt who claim they are the most unforgettable people in this county: Quiet Matt, Big Matt and Artist Matt. (6 minutes)Friendship • Funny Eugene Mirman
 
Song:
""Cruisin' in the ATL"", Outkast
 
"
413.07,100.0,1.0,100.0,268.0,268.0,413,0.07,Elbert County.,,"
Chuck Salter, son of Georgia Rambler Charles Salter, Sr., visits a man named Windell Cleveland, who was interviewed by his father 33 years ago. Chuck is a senior writer at Fast Company Magazine. (10 minutes)Family • Fathers • History • Journalism 
Song:
""Georgia"", Cee Lo Green
 
"
415.01,50.0,2.0,100.0,444.0,444.0,415,0.01,Act One. Wall Street: Money Never Weeps.,"Adam Davidson, Jane Feltes, Planet Money","
Ira with Planet Money economics correspondent Adam Davidson on why—even after everything President Obama has done to save Wall Street, actions which have led to record profits and bonuses—Wall Street seems ungrateful. Adam and producer Jane Feltes head out to a Wall Street bar where they're told by three finance guys that there's no reason to thank the President for saving their jobs. Planet Money is a co-production of This American Life and NPR News. (16 minutes)Economics • Jobs/Employment • Presidents Adam Davidson
Jane Feltes
Planet Money
 
Song:
""I Get Money"", 50 Cent
 
"
432.02,0.0,1.0,100.0,452.0,452.0,432,0.02,Act Two. Kings Do Not Fold.,Nancy Updike,"
Producer Nancy Updike shares a pattern that she's noticed recently: eleven steps that Middle Eastern dictators have been taking on the path to losing power. (7 minutes)Government • Politics Nancy Updike
 "
415.02,100.0,1.0,100.0,227.0,227.0,415,0.02,Act Two. Foul Play.,Alex Blumberg,"
Ira with This American Life producer Alex Blumberg, about a kind of institutionalized crybabying in pro basketball called ""the flop."" Alex started to wonder if the story basketball fans tell themselves about the origins of the flop is true, and turned to Tommy Craggs at the sports blog Deadspin.com. (11 minutes)Sports Alex Blumberg
 "
415.04,50.0,2.0,100.0,32.0,32.0,415,0.04,Act Four. Cry Me a Liver.,David Sedaris,"
A fable about being a crybaby, from David Sedaris' new book of animal fables, Squirrel Seeks Chipmunk. (6 minutes)
Fiction • Funny David Sedaris
 
Song:
""Bullet with Butterfly Wings"", Smashing Pumpkins
 
"
416.01,0.0,1.0,100.0,1509.0,1509.0,416,0.01,Act One. What Just Happened?,Nancy Updike,"
To understand where we are today in Iraq, we tell the story of one Iraqi, Saad Oraibi Ghaffouri Al-Obeidi, also known as Abu Abed—a man who fought alongside the US during the surge, and is now in exile—and what he saw, and was part of, over seven years of the war. (28 minutes)Iraq • War Nancy Updike
 "
417.02,100.0,1.0,100.0,1236.0,1236.0,417,0.02,Act Two. Mr. Hitt Goes To Washington.,Jack Hitt,"
Jack Hitt has spent the last two years watching the Obama administration lose the news cycle and war of soundbites to Republicans day after day. Watching the Democrats run away from issues like health care reform and middle class tax cuts, Hitt wonders if there is some secret long-term master plan the Democrats are deploying, or if they're just incompetent. He goes to a Democratic Party insider—Paul Begala—to try to understand what the thinking behind the last two years of Democratic messaging has been. (16 minutes)
Politics • Presidents Jack Hitt
 
Song:
""Whose Side Are You On"", GW McLeannan
 
"
418.01,50.0,2.0,100.0,450.0,450.0,418,0.01,Act One. Fire Sale in Kansas City.,"Chana Joffe-Walt, David Kestenbaum, Planet Money","
David and Chana buy a toxic asset, from a guy named Wit Solberg, who used to work on Wall Street and now helps small banks who've been saddled with toxic assets. Turns out...it's hard to buy a toxic asset. But, they eventually find one that looks good, and looks like it will actually make them and the team money. (9 minutes)Business • Economics • Retail/Commerce Chana Joffe-Walt
David Kestenbaum
Planet Money
 "
418.04,50.0,2.0,100.0,700.0,700.0,418,0.04,Act Four. Villains And How To Sue Them.,"Chana Joffe-Walt, David Kestenbaum, Planet Money","
David and Chana meet another toxic asset owner, like themselves. Only difference, David and Chana bought theirs after it was already toxic, for a steep discount, 99% off. George Laufenberg bought his for full price. Now, it's almost worthless, and George is trying to figure out who to sue. (10 1/2 minutes)Economics Chana Joffe-Walt
David Kestenbaum
Planet Money
 "
421.03,0.0,1.0,100.0,657.0,657.0,421,0.03,Act Three. My Own Private U.F.O.,Elna Baker,"
A story about God and extraterrestrials, told by Elna Baker. Elna is the author of a memoir called The New York Regional Mormon Singles Halloween Dance.
"
427.02,100.0,1.0,100.0,2484.0,2484.0,427,0.02,Act Two. Ask Not What Your Handwriting Authenticator Can Do for You; Ask What You Can Do for Your Handwriting Authenticator.,Jake Halpern,"Jake Halpern tells this story about document expert John Reznikoff, who came into possession of some materials which—if authentic—would change history. Then things got complicated. Jake is the author of several books, including World's End. (32 minutes)"
405.01,100.0,1.0,100.0,557.0,557.0,405,0.01,Act One. Eat My Shorts.,"Alex Blumberg, Planet Money","A hedge fund named Magnetar comes up with an elaborate plan to make money. It sponsors the creation of complicated and ultimately toxic financial securities...while at the same time betting against the very securities it helped create. Planet Money's Alex Blumberg teams up with two investigative reporters from ProPublica, Jake Bernstein and Jesse Eisinger, to tell the story. Jake and Jesse pored through thousands of pages of documents and interviewed dozens of Wall Street Insiders. We bring you the result: A tale of intrigue and questionable behavior, which parallels quite closely the plot of a Mel Brooks musical. (40 minutes)"
404.03,50.0,2.0,100.0,3156.0,3156.0,404,0.03,Act Three. As The Worm Turns.,"Patrick Walters, Radiolab","
Another story about parasites. When Jasper Lawrence learned that hookworms might lessen the effects of his allergies, he set out on a unique mission: To travel to West Africa and purposefully become infected with the parasite. What he did next is even more surprising. Patrick Walters reported this story for Radiolab, a production of WNYC and NPR. (14 minutes)Health Care/Medicine • Science Patrick Walters
Radiolab
 "
404.02,100.0,1.0,100.0,1081.0,1081.0,404,0.02,Act Two. Blood Agent.,Ira Glass,"
You can divide all living creatures into two camps. We humans are in one camp, along with lots of other things like dogs and birds and trees and caterpillars. In the other camp are the things that live inside of us, the bacterias and viruses, the worms and protozoans, in short, parasites. Scientists estimate that the parasites outnumber us and our free-living allies by 3 to 1. Carl Zimmer talks with Ira about how parasites manage the trick of living inside of us, behind enemy lines, without us finding out. Carl is the author of the book ""Parasite Rex."" (10 minutes) Science Ira Glass
 
Song:
""I Live Off You"", X-Ray Spex
 
"
404.01,100.0,1.0,100.0,1604.0,1604.0,404,0.01,Act One. Confession.,Carl Marziali,"
Patrick Wall was a special kind of monk. He was a fixer. The Catholic church sent him to problem parishes where priests had been removed because of scandal. His job was to come in, keep events from going public and smooth things over until a permanent replacement priest was found. But after four different churches in four years, after covering up for pedophiles and adulterers and liars and embezzlers he decided to make a change. Carl Marziali tells his story. (21 minutes)
Crime • Jobs/Employment • Religion Carl Marziali
 
Song:
""Angel's Ululu"", Deerhoof
 
"
380.02,100.0,1.0,100.0,2493.0,2493.0,380,0.02,Act Two. Where’s King Solomon When You Need Him?,Ted Gesing,"
Reporter Ted Gesing interviews Mike Nyberg about adopting a little girl from Samoa, only to learn over time that her Samoan family had no intention of giving her up for adoption. The US adoption agency had told the Nybergs that their adoption would be closed, and that their little girl Elleia had been living in a foster home waiting for adoptive parents; but in Samoa, Elleia's parents were told that their daughter could come to the US and receive a better education, and that the adoptive family would send money and regular updates on their daughter's progress. The whole situation leaves the Nybergs trying to find their way through sticky moral territory. (31 minutes) Adoption • Parenting • Travel Ted Gesing
 "
381.04,100.0,2.0,100.0,38.0,38.0,381,0.04,Act Four. If The Shoe Fits. ,"Etgar Keret, Matt Malloy","
Actor Matt Malloy reads a short piece of fiction called ""Shoes,"" about a boy trying not to be a turncoat. It's from Etgar Keret's book of short fiction The Busdriver Who Wanted to Be God, and Other Stories. (6 minutes) Childhood • Fiction • History Etgar Keret
Matt Malloy
 "
384.03,100.0,4.0,100.0,2976.0,2976.0,384,0.03,Act Three. Don’t Stop ‘til You Get Enough.,"Adam Davidson, Alex Blumberg, Planet Money","
Planet Money's Alex Blumberg and Adam Davidson talk to Ira about the lawsuit phase of the economic crisis, and the ongoing search to find someone to take the blame. So far at least 196 lawsuits are simply banks suing other banks. (10 minutes) Business • Economics • Legal System Adam Davidson
Alex Blumberg
Planet Money
 "
385.01,100.0,1.0,100.0,227.0,227.0,385,0.01,Act One. Psycho Dabble.,Jon Ronson,"
From London, TAL contributor Jon Ronson tells the story of a man who has spent more than a decade trying to convince doctors that he's not mentally ill. But the more he argues his case, the less they believe him. (25 minutes) Legal System • Mental Health Jon Ronson
 
Song:
""Twisted"", Annie Ross
 
"
385.02,100.0,1.0,100.0,1030.0,1030.0,385,0.02,Act Two. Disorder In The Court.,Ira Glass,"
Earlier this year, admitted drug user Jorge Cruz decided to act as his own lawyer in an Albany, New York criminal court. Impossibly, he won. Ira talks to Francisco Calderon, the assistant district attorney who prosecuted the case, about what it feels like to lose to an amateur. (10 minutes) Criminal Justice • Drugs • Legal System Ira Glass
 "
386.01,0.0,1.0,100.0,1535.0,1535.0,386,0.01,Act One. Side Effects May Include...,Nancy Updike,"
In Tehran in 2004, Omid Memarian confessed to doing things he'd never done, meeting people he'd never met, following plots he'd never heard of. Why he did that, and why a lot of other people have confessed to the same things, is all in the fine print. This American Life producer Nancy Updike tells the story. (22 minutes) Journalism • Terrorism Nancy Updike
 "
387.03,100.0,1.0,100.0,265.0,265.0,387,0.03,Act Three.,Ira Glass,"
Ira talks to Aziz Huq about whether cases like Lahkani's will continue to be pursued under the Obama administration, and why that's problematic. (2 minutes)Criminal Justice • Legal System • Terrorism Ira Glass
 "
390.02,100.0,2.0,100.0,2182.0,2182.0,390,0.02,Act Two. Fall 2009.,"Alex Blumberg, Adam Davidson","
We catch back up with the people we met in 2008, to see how they've fared over the last 18 months. We talk to Clarence Nathan, who in 2008 received a half million dollar loan that he said he wouldn't have given himself; Jim Finkel, a Wall Street finance guy, who put together and managed complicated mortgage-based financial securities; Richard Campbell, the Marine who was facing foreclosure; and Glen Pizzolorusso, the mortgage company sales manager who led the life of a b-list celebrity. (19 minutes) Business • Economics • Housing • Jobs/Employment • Personal Finance Alex Blumberg
Adam Davidson
 "
394.02,100.0,1.0,100.0,925.0,925.0,394,0.02,Act Two. Raw Sex.,David Ellis Dickerson,"
Ira talks with David Ellis Dickerson about some of the bait and switch techniques David used when he was an evangelical trying to bring converts to the Church. Then Ira talks with author and evangelical Jim Henderson, who argues that evangelicals should follow Jesus's example not through conversion, but by simply befriending non-believers. David Ellis Dickerson is the author of the book House of Cards: Love, Faith, and Other Social Expressions. Jim Henderson records his thoughts on the website doableevangelism.com. (13 minutes) Religion David Ellis Dickerson
 
Song:
""Bait & Switch"", Andre Williams 
 
"
394.04,100.0,1.0,100.0,10.0,10.0,394,0.04,Act Four. Me And Cherry.,Bill Cotter,"
A few years back, Bill Cotter was a rare book binder who decided to get into the rare book selling business. To do this, he financed his business on a bunch of low-interest credit cards. It didn't work out well. Bill tells the story of being hounded by his creditors, and all the ingenious bait and switch tactics they used to try to get their money back. A version of Bill's story first appeared on McSweeneys.net. Bill is also the author of the book Fever Chart. (10 minutes) Business • Economics Bill Cotter
 "
396.03,100.0,1.0,100.0,523.0,523.0,396,0.03,Act Three. Talk To The Paw.,Aaron Scott,"
The same year Penn State was named #1 party school, State College was named the safest metropolitan area in the country. Producer Aaron Scott goes out with a State College police officer to see what it takes to keep it safe. (8 minutes) Police Aaron Scott
 
Song:
""Drunk and Disorderly"", The Shirkers
 
"
398.02,100.0,1.0,100.0,37.0,37.0,398,0.02,Act Two. House Dutiful.,Wells Tower,"
When Wells Tower started to try to fix up and save his dad's house, he knew it'd be incredibly hard. Lots of people told him not to. But he couldn't help himself. A version of his story ran in the Washington Post a few years back. He's the author of the book Everything Ravaged, Everything Burned. (19 minutes) Fathers • Housing Wells Tower
 "
399.02,100.0,1.0,100.0,686.0,686.0,399,0.02,Act Two. He Shapes Ship Shapes By The Sea Shore.,Adam Davidson,"
      Fred van Doorninck and George Bass were unlikely candidates for pioneering underwater Byzantine archaeology—Fred hates water, and George found the Byzantine era boring. But that's exactly what they did, when they devoted 50 years to uncovering the mysteries of a shipwreck. Along the way they changed how we think about a thousand years of history. Planet Money's Adam Davidson tells the story. 
(12 minutes) Boats • History Adam Davidson
 "
399.03,100.0,1.0,100.0,14.0,14.0,399,0.03,Act Three. The Answer To The Riddle Is Me.,David MacLean,"
      On October 13, 2002, David MacLean woke up in India with no memory of who he was or how he got there. He had no choice but to let the people who recognized him—and even strangers—fill in his identity. David wrote a book about the experience of losing his memory, called The Answer to the Riddle Is Me. (20 minutes)  Mental Health • Travel David MacLean
 "
402.02,0.0,1.0,100.0,1091.0,1091.0,402,0.02,Act Two. I'd Like To Spank The Academy.,,"
For the last 13 years, the University of Montevallo in Alabama has held an event called The Life Raft Debate, where several professors take the stage and each tries to convince the students that his or her discipline—chemistry, say, or communications—is the most essential field of study. But in 2007, a professor named Jon Smith decided that the debate itself needed saving. Producer Nancy Updike tells the story. (14 minutes)Education • Funny "
403.01,100.0,1.0,100.0,2488.0,2488.0,403,0.01,Act One.,Frank Langfitt,"
The rise of NUMMI, or how one of the worst auto plants in America started producing some of its best cars, thanks to lessons learned from the Toyota production system. (25 minutes)Automobiles • Business • Jobs/Employment Frank Langfitt
 "
403.02,100.0,1.0,100.0,2056.0,2056.0,403,0.02,Act Two.,Frank Langfitt,"
Why did it take so many years for GM to begin implementing the lessons of NUMMI across the company? NPR Automotive Correspondent Frank Langfitt continues his story. (26 minutes)Automobiles • Business • Jobs/Employment Frank Langfitt
 "
431.03,100.0,1.0,100.0,772.0,772.0,431,0.03,Act Three. I Worked at the Kennedy Center and All I Got Was This Lousy T-Shirt.,David Kestenbaum,"
In the 1970s, David Kestenbaum's cousin Dan Weiss got promoted from stocker
to gift shop manager at the Kennedy Center for the Performing Arts in
Washington DC. It was a good job... except for the fact that the place was
bleeding cash because of apparent embezzlement. The gift shop staff? Almost
all senior citizen volunteers. Dave is a reporter with NPR's Planet Money.
(10 minutes)Business • Jobs/Employment • Presidents David Kestenbaum
 
Song:
""See No Evil"", Television
 
"
432.04,100.0,1.0,100.0,1191.0,1191.0,432,0.04,Act Four. Solitaire and Everything's Wild.,Ira Glass,"
There's a part of Brazil that was almost all rainforest until the 1970s, and over the next few decades a million people moved in, cutting down the forest and building towns and cities. Monte Reel was the South American correspondent for the Washington Post in the mid 1990s, when he started hearing rumors of a ""wild man,"" the last member of a tribe, who lived completely alone in this area's remaining forest. Reel's book about the quest to find and save this man is called The Last of the Tribe. The book also has a video trailer. (14 1/2 minutes)Environment Ira Glass
 
Song:
""The Gambler"", Elmer
 
"
499.02,0.0,1.0,100.0,2286.0,2286.0,499,0.02,Act Two. Emails from a Dead Man.,Nancy Updike,"
To get a sense of what may be broken about our process for bringing these Iraqis into the US,
the ones who worked with US forces and who believe their lives are now in danger because of
that, Kirk Johnson tells Nancy Updike about one guy. Almost a year of his emails were forwarded to Kirk, who printed them out and started to realize that he was looking at a dead man’s attempt to immigrate to the U.S. (29 minutes)Immigration • Iraq Nancy Updike
 
Song:
""Red Tape"", The Neverbeens
 
"
481.01,100.0,1.0,100.0,2.0,2.0,481,0.01,"Act One. Kabul, Afghanistan.",,"
This American Life contributor Hyder Akbar heads into Kunar Province in
Eastern Afghanistan to report back on life there this week. Things look
good until he gets ambushed, shot at and his car catches on fire on his way
back home.
(15 minutes) 
Song:
""Mind Playing Tricks on Me"", Geto Boys
 
"
462.01,100.0,1.0,100.0,1316.0,1316.0,462,0.01,Act One. Aces are Wild.,Ira Glass,"
For a generation of baseball fans, when a pitcher suddenly stops being able to perform, it's known as ""Steve Blass Disease"" — after an all-star pitcher who inexplicably stopped being able to throw strikes. Ira Glass speaks with
Steve Blass and others about this phenomenon. Blass is publishing an autobiography (with co-author Erik Sherman) called A Pirate For Life on May 1. MLB Footage Courtesy of MLB.com. (15 minutes)Sports Ira Glass
 "
463.01,100.0,1.0,100.0,2768.0,2768.0,463,0.01,Act One. The Postcard Always Rings Twice.,Alex Blumberg,"
Producer Alex Blumberg tells the story of Jeff Smith, a former Missouri State Senator who spent last year in federal prison. The story of how Jeff ended up there includes large sins, but begins with a relatively small one. In other words, it's the story of a venial sin turning into a mortal one. Alex can regularly be heard on Planet Money, which is a collaboration between NPR News and This American Life. (33 1/2 minutes)Crime • Government • Politics Alex Blumberg
 "
468.01,0.0,1.0,100.0,452.0,452.0,468,0.01,Act One. Healthy Start.,Etgar Keret,"
What if someone mistakes you for someone else, and you decide to just go
with it? Actor John Conlee reads this story from Etgar Keret's book
Suddenly a Knock on the Door. In the podcast version, Etgar returns to explain the real-life experience that inspired him to write the story. (12 minutes)Fiction Etgar Keret
 "
468.02,0.0,1.0,100.0,1170.0,1170.0,468,0.02,Act Two. Forgive us our Press Passes.,Sarah Koenig,"
Producer Sarah Koenig reports on a company called Journatic, that is
producing local journalism in a brand new way. Or is it really journalism? (23 1/2 minutes)


An article at Poynter.org
adds details to the story.Economics • Journalism Sarah Koenig
 "
470.01,100.0,1.0,100.0,2277.0,2277.0,470,0.01,Act One. Just South of the Unicorns.,,"
A teenager runs away from home to move in with someone he's never met, his
idol, the person he respects most of all — a fantasy writer named Piers
Anthony. Logan Hill reports.
(32 1/2 minutes)Family • Teenagers • Writing 
Song:
""I Want Somebody (To Show Me the Way Back Home)"", Willie Tee
 
"
471.01,100.0,1.0,100.0,2052.0,2052.0,471,0.01,Act One. Gym Rat.,Sam Black,"
In the summer of 2006, an FBI official visited a mosque in Orange County,
California. His intention was to reassure the community that they weren’t
being spied on. But a few months later, an undercover informant named Craig
Monteilh showed up at the mosque. Monteilh says he’d been sent there to
catch terrorists. But his behavior was so odd that Monteilh himself came
under suspicion. Documentary filmmaker Sam Black reports the story.
(25 minutes)Government • Terrorism Sam Black
 
Song:
""Come Spy With Me"", Hugo Montenegro
 
"
475.04,0.0,1.0,100.0,1022.0,1022.0,475,0.04,Act Four. Not My First Time at the Rodeo.,Nancy Updike,"
A man has a very clear vision of how he always stood up to his father,
protected his mother and fought hard for the truth. Until one day he
discovers actual raw data — secretly recorded conversations — that
threaten to change his picture of everything. Producer Nancy Updike tells
the story.
(12 minutes)Family • Fathers • Mothers Nancy Updike
 
Song:
""Get The Message"", Sagitarius
 
"
477.04,100.0,1.0,100.0,1087.0,1087.0,477,0.04,Act Four. Pre K-O.,Alex Blumberg,"
Producer Alex Blumberg tells the story of how Oklahoma, against huge odds,
came to have the first and best publicly-funded pre-school system in the
country, and how one businessman joined the fight because a cardboard box
full of evidence convinced him that pre-school was the smartest business
decision the state could make.
(21 minutes)Economics • Education Alex Blumberg
 
Song:
""I Fooled You This Time"", Gene Chandler
 
"
481.03,100.0,1.0,100.0,325.0,325.0,481,0.03,"Act Three. Washington, D.C.",Ira Glass,"
Ira asks Washington-insider Norman Ornstein if we actually need to be paying
attention to all of the Fiscal Cliff political news. Or can it wait until
next week? Ornstein is the author of the book It's Even Worse Than It
Looks: How the American Constitutional System Collided With the New Politics
of Extremism. (3 minutes)Economics Ira Glass
 "
433.04,0.0,1.0,100.0,8.0,8.0,433,0.04,Act Four. May Be Hazardous To Children.,Susan Burton,"
Susan Burton rereads her parents' divorce papers—the fine print that changed her life forever. (7 minutes) Childhood • Divorce • Family • Legal System • Marriage Susan Burton
 "
483.02,0.0,1.0,100.0,1288.0,1288.0,483,0.02,Act Two. Some Like it Dot.,"Chana Joffe-Walt, Planet Money","
A young idealist named Octavio Sanchez is chief of staff to the president of Honduras. He gets an idea: What if you could cure all your country's ills by just ... starting over? In one little spot, you could create a whole new, perfect city. Do all the reforms you want to do in that one place — and if it works, it could spread to the whole country. But how could he pull off such a radical project? Then Octavio sees a TED Talk by a famous American economist, Paul Romer. Romer has more or less the same idea: poor countries could invite richer countries to found and run ideal ""charter cities."" It's not colonialism, Romer explains, because the poor countries are asking for help. Octavio and Paul get together and persuade the Honduran president. They're off and running. They choose a spot, they change the constitution to make it legal, they start searching for investors. But then, the whole thing starts to sour — for reasons both inevitable, and surprising. Chana Joffe-Walt and Jacob Goldstein of our Planet Money team went to Honduras to find out how it all went down.
(28 minutes)Economics • Politics Chana Joffe-Walt
Planet Money
 
Song:
""Utopia"", Ruby Cube
 
"
484.02,100.0,1.0,100.0,2668.0,2668.0,484,0.02,"Act Two. In Country, In City.",Alex Kotlowitz,Special thanks to the program Healing Hurt People at Drexel University for assistance with this story.
488.03,0.0,1.0,100.0,477.0,477.0,488,0.03,Act Three. Get Your Gun.,Linda Lutton,"
Chicago has strict gun laws but, obviously, teenagers are somehow getting their hands on guns. Lots of guns. We've all heard about straw purchasers and gun shows but 15-year-olds aren't spending hundreds of dollars to buy guns, or exploiting gun show loopholes. Reporter Linda Lutton gathers together a group of Harper boys and asks them: where do you get your guns? They tell her not only where they get them, but where they keep them, too. (6 minutes)Crime • Guns/Gun Control • Teenagers Linda Lutton
 "
492.02,0.0,1.0,100.0,1054.0,1054.0,492,0.02,Act Two.,Sarah Koenig,"
This question lurked throughout Vince’s initial incarceration and court appearances: Was he
crazy? Or was he crazy like a fox? Benjamin decides to visit Vince in prison. (23 1/2 minutes) Sarah Koenig
 
Song:
""Doctor"", Atlas Sound
 
"
493.01,0.0,1.0,100.0,1167.0,1167.0,493,0.01,Act One. Photo Op.,Nancy Updike,"
Producer Nancy Updike goes to the West Bank to investigate why Israeli soldiers routinely wake
up Palestinian families in the middle of the night, to take photos of the teen boys in the house.
(23 minutes)Children • Military Nancy Updike
 
Song:
""I Turn My Camera On"", Spoon
 
"
