episode-act,tags
390.01,Economics
390.01,Housing
390.01,Jobs/Employment
53.0,Fathers
53.0,Film/Film Making
53.0,Love
291.0,Music
51.0,Animals
51.0,Art
51.0,History
51.0,Writing
75.0,Funny
75.0,New York
75.0,Travel
240.0,Radio
240.0,Teenagers
445.05,9/11
445.05,Children
445.05,Education
445.05,Religion
445.04,Iraq
445.04,War
445.03,9/11
445.03,Afghanistan
445.03,Iraq
445.03,Mental Health
445.02,9/11
445.02,Death
445.02,Funny
445.02,Jobs/Employment
445.02,Politics
445.02,War
332.04,Iraq
332.04,Religion
332.04,War
332.05,Funny
332.05,Religion
332.05,Sexuality
332.06,Crime
332.07,Health Care/Medicine
332.07,Mothers
77.0,Family
77.0,Marriage
77.0,Relationships
77.0,Religion
332.01,Funny
332.01,Religion
332.03,Childhood
332.03,Fathers
331.03,Criminal Justice
331.03,Legal System
331.03,Terrorism
312.01,History
312.01,Live Performance
312.01,Technology
346.03,Crime
346.03,Mothers
346.02,Childhood
346.02,Homelessness
346.02,Housing
443.02,Children
443.02,Funny
331.02,Criminal Justice
331.02,History
331.02,Legal System
345.03,Friendship
345.03,Health Care/Medicine
274.0,Iraq
274.0,Military
274.0,Politics
274.0,Terrorism
310.01,Criminal Justice
310.01,Legal System
310.01,Terrorism
310.02,Criminal Justice
310.02,History
310.02,Legal System
112.0,Health Care/Medicine
112.0,History
112.0,Politics
112.0,Presidents
462.0,Health Care/Medicine
516.01,Breakup
516.01,Crime
516.01,Divorce
516.01,Marriage
516.01,Relationships
516.01,Religion
516.02,Government
516.02,War
12.0,Animals
12.0,Sports
169.04,Children
169.04,Jobs/Employment
169.04,Sports
6.0,Holidays
6.0,Music
6.0,Theater
184.03,Animals
184.03,Housing
184.02,Children
184.02,Friendship
184.02,Housing
184.01,Childhood
184.01,Television
184.01,Travel
78.04,Crime
78.04,Criminal Justice
78.04,Religion
78.04,Technology
10.0,Childhood
10.0,Family
10.0,Fathers
10.0,Sexuality
78.01,Gambling
78.01,Radio
78.01,Theater
78.02,Funny
78.02,Relationships
78.03,Film/Film Making
270.01,Family
270.01,Food/Drinks/Cooking
270.02,Alcohol
270.02,Family
270.02,Mental Health
16.0,Economics
16.0,Government
16.0,Politics
16.0,Presidents
272.03,Business
272.03,Politics
272.02,Politics
272.01,Politics
272.01,Sexuality
126.0,Health Care/Medicine
126.0,Jobs/Employment
272.04,Politics
272.04,Sexuality
182.01,Love
182.01,Religion
109.01,Children
109.01,Friendship
109.02,Children
109.03,Childhood
109.04,Business
109.04,Childhood
109.04,History
182.04,Fiction
109.06,Children
109.06,Friendship
490.02,Economics
439.0,Family
439.0,Funny
439.0,Police
439.0,Travel
1.01,Religion
1.01,Travel
1.03,Health Care/Medicine
1.03,Travel
1.02,Family
1.02,Fathers
1.02,Mothers
1.04,Criminal Justice
1.04,Music
116.0,Animals
116.0,Children
116.0,Food/Drinks/Cooking
116.0,Holidays
571.21,Breakup
571.21,Love
114.0,Death
114.0,History
212.0,Childhood
212.0,Film/Film Making
464.21,Funny
464.21,Live Performance
17.03,Politics
17.03,Presidents
17.02,Childhood
17.02,Family
17.02,Legal System
17.02,Sexuality
17.02,Television
17.01,Business
17.01,Chicago
17.01,Children
17.01,Economics
17.01,Family
17.01,Jobs/Employment
15.01,Childhood
15.01,Journalism
15.01,Neighbors/Neighborhoods
15.01,Sexuality
79.0,History
79.0,Music
79.0,Politics
15.02,Journalism
15.02,Neighbors/Neighborhoods
15.02,Sexuality
122.0,Crime
122.0,Criminal Justice
122.0,Jobs/Employment
122.0,Love
122.0,Murder
122.0,Police
120.0,Love
120.0,Theater
11.01,Childhood
11.01,Friendship
470.01,Family
470.01,Teenagers
470.01,Writing
11.03,Death
11.03,Fiction
11.03,Friendship
11.02,Friendship
11.02,Religion
11.02,Sexuality
158.02,Activism
158.02,Children
158.02,Education
158.02,Politics
158.03,Activism
158.03,Journalism
158.03,Television
158.01,Crime
158.01,Sports
158.01,Travel
209.01,Divorce
209.01,Family
209.01,Mothers
180.02,Business
180.02,Childhood
180.02,Jobs/Employment
180.02,Music
180.01,Childhood
180.01,Family
180.01,Housing
180.01,Mothers
180.01,Siblings
209.02,Education
209.02,Family
209.02,Mental Health
180.04,Children
180.04,Fiction
402.21,Education
402.21,Funny
347.01,Afghanistan
347.01,Love
347.01,Relationships
347.03,Children
347.03,Parenting
347.03,Race
530.01,Sports
530.02,Crime
530.02,Police
434.03,Education
434.03,Politics
434.02,Politics
434.01,Terrorism
358.01,Alcohol
358.01,Friendship
358.01,Homelessness
358.01,Writing
358.02,Education
358.02,Family
358.02,Fathers
358.02,Parenting
358.03,Education
358.03,Health Care/Medicine
358.03,Mental Health
358.03,Parenting
494.01,Travel
494.02,Children
494.02,Funny
494.02,Live Performance
453.0,Politics
77.01,Neighbors/Neighborhoods
77.01,Religion
614.0,Politics
451.0,College
451.0,Neighbors/Neighborhoods
451.0,Sports
496.02,Business
496.02,Economics
496.01,Business
496.01,Economics
386.04,Childhood
386.04,Divorce
386.04,Family
386.04,Legal System
386.04,Marriage
386.03,Government
386.03,Legal System
386.02,Family
386.02,Fiction
386.02,Funny
386.02,Legal System
386.02,Mothers
386.01,Journalism
386.01,Terrorism
75.03,Housing
75.03,Neighbors/Neighborhoods
75.03,New York
75.02,Childhood
75.02,Housing
75.02,Teenagers
75.02,Theater
75.01,Jobs/Employment
75.01,New York
256.01,Mental Health
256.01,Music
256.03,Food/Drinks/Cooking
256.03,Homelessness
75.04,Music
75.04,Neighbors/Neighborhoods
75.04,New York
75.04,Police
465.0,Immigration
465.0,War
259.21,Teenagers
259.21,Travel
396.02,Alcohol
396.02,Business
396.02,Retail/Commerce
118.0,Literature
118.0,Live Performance
441.0,Business
441.0,Legal System
441.0,Technology
396.01,Alcohol
396.01,Education
396.04,Alcohol
396.04,Education
436.01,Criminal Justice
436.01,Mental Health
436.03,Funny
436.03,Mental Health
436.02,Business
436.02,Mental Health
13.03,Legal System
13.03,Weddings
18.0,Lying
18.0,Marriage
18.0,Mental Health
18.0,Presidents
18.0,Relationships
18.0,Teenagers
13.01,Art
13.01,Film/Film Making
13.01,Love
13.01,Poetry
408.0,Natural Disasters
461.0,Government
461.0,Politics
18.01,Crime
18.01,Family
18.01,Fathers
18.01,Lying
18.01,Personal Finance
18.01,Teenagers
495.02,Activism
495.02,Environment
495.03,Activism
495.03,Environment
174.0,Childhood
174.0,Children
174.0,Friendship
174.0,Funny
174.0,Holidays
174.0,Live Performance
128.0,Travel
30.0,Childhood
30.0,Mental Health
404.0,Crime
404.0,Jobs/Employment
404.0,Religion
176.0,Activism
176.0,Government
176.0,Politics
176.0,Presidents
5.05,Food/Drinks/Cooking
5.05,Friendship
5.05,Funny
5.05,Live Performance
5.04,Crime
5.04,Religion
5.04,Teenagers
5.01,Children
5.01,Crime
5.01,Journalism
5.01,Mothers
5.01,Murder
406.0,Animals
5.03,Crime
5.03,Criminal Justice
5.03,Legal System
5.03,Teenagers
5.02,Crime
5.02,Murder
5.02,Theater
400.0,Family
422.0,Children
422.0,Funny
422.0,Holidays
161.02,Automobiles
161.02,Children
161.02,Fathers
161.02,Parenting
161.03,Children
161.03,Fathers
161.03,Parenting
161.01,Automobiles
161.01,Jobs/Employment
161.06,Automobiles
161.06,Family
161.06,Fathers
161.07,Automobiles
161.07,Heroism
156.02,Activism
156.02,History
156.02,Immigration
156.02,Science
156.03,Business
156.03,Race
156.03,Retail/Commerce
154.02,Animals
154.02,Retail/Commerce
154.02,Television
154.03,Animals
154.03,Childhood
154.03,Family
154.03,Fiction
154.03,Siblings
96.0,Gambling
96.0,History
536.01,Business
369.04,Animals
369.04,Natural Disasters
369.04,Science
369.05,Fiction
369.05,Funny
369.05,Religion
470.0,Breakup
470.0,Divorce
470.0,Marriage
470.0,Relationships
289.02,Fathers
289.02,Science
369.01,Animals
369.01,Religion
369.02,Animals
369.02,Death
369.03,Activism
369.03,Animals
369.03,Labor
8.02,Neighbors/Neighborhoods
8.02,Race
8.02,Religion
8.03,Education
8.03,Family
8.03,Teenagers
8.01,Neighbors/Neighborhoods
8.01,Teenagers
410.0,Economics
410.0,Politics
221.03,Film/Film Making
221.03,Literature
221.03,Love
100.0,Radio
412.04,Personal Finance
412.04,Television
412.03,Death
412.03,Drugs
412.03,Economics
412.02,Drugs
412.02,Funny
412.02,Live Performance
412.01,Education
51.01,Animals
51.01,Food/Drinks/Cooking
51.01,Jobs/Employment
51.03,Animals
51.03,Death
51.03,Jobs/Employment
51.02,Animals
51.02,Fiction
437.02,Legal System
437.02,Politics
51.04,Animals
254.01,9/11
254.01,Afghanistan
254.01,Terrorism
437.01,Criminal Justice
437.01,Health Care/Medicine
437.01,Jobs/Employment
437.01,Legal System
150.04,Crime
150.04,Criminal Justice
150.04,Family
150.04,Jobs/Employment
150.04,Murder
150.04,Teenagers
150.02,Boats
150.02,Childhood
150.02,Mothers
150.02,Travel
163.01,Crime
163.01,Jobs/Employment
163.01,Legal System
163.01,Murder
163.01,Police
163.02,Business
163.02,Government
163.02,Housing
163.02,Jobs/Employment
163.02,Politics
150.01,Automobiles
150.01,Health Care/Medicine
150.01,Teenagers
48.0,Crime
48.0,Criminal Justice
48.0,History
48.0,Legal System
48.0,War
399.02,Boats
399.02,History
320.21,Death
320.21,Family
320.21,Iraq
320.21,Journalism
320.21,War
476.0,Cancer
220.03,Health Care/Medicine
179.04,Crime
179.04,Government
179.04,Murder
179.04,Police
179.04,Politics
179.04,Race
179.03,Government
179.03,Legal System
179.03,Police
179.03,Politics
179.03,Race
179.02,Crime
179.02,Government
179.02,Legal System
179.02,Police
179.02,Race
179.01,Crime
179.01,Government
179.01,Police
179.01,Politics
179.01,Race
527.03,Death
527.03,Fiction
414.01,Criminal Justice
414.01,Jobs/Employment
414.01,Police
94.0,Children
94.0,Education
94.0,Funny
94.0,Paranormal
252.01,Animals
252.01,Family
435.01,Business
435.01,Jobs/Employment
435.01,Politics
7.0,Jobs/Employment
7.0,Writing
252.02,Radio
435.04,Education
435.04,Jobs/Employment
252.04,Animals
620.01,Politics
620.01,War
53.05,Children
53.05,Fathers
53.05,Love
53.05,Parenting
53.04,Childhood
53.04,Family
53.04,Love
53.04,Mothers
53.03,Family
53.03,Love
53.03,Marriage
53.02,Animals
53.02,Childhood
53.02,Family
53.02,Love
53.01,Family
53.01,Love
53.01,Mothers
274.01,Crime
274.01,Religion
269.03,Fiction
269.03,Love
274.03,Fiction
274.03,Relationships
274.02,Science
250.03,Family
250.03,Personal Finance
250.02,Economics
250.02,Politics
250.01,Politics
250.01,Technology
497.01,Natural Disasters
497.02,Government
497.02,Legal System
497.02,Terrorism
497.03,Education
497.03,Science
497.04,Legal System
497.05,Birth
497.05,Drugs
441.02,Business
441.02,Legal System
441.02,Technology
441.01,Business
441.01,Legal System
269.02,Family
269.02,Travel
4.02,Childhood
4.02,Family
4.02,Film/Film Making
4.02,Teenagers
4.02,Travel
520.03,Food/Drinks/Cooking
4.01,Childhood
4.01,Family
4.01,Mothers
4.01,Siblings
4.01,Travel
590.0,Breakup
590.0,Divorce
590.0,Love
590.0,Marriage
590.0,Relationships
590.0,Weddings
186.21,Automobiles
186.21,Teenagers
596.0,Animals
189.21,Boats
189.21,History
449.06,Education
449.06,Teenagers
575.03,China
575.02,Health Care/Medicine
575.02,Politics
575.01,Children
575.01,Politics
575.01,School
462.01,Sports
462.02,Fiction
462.02,Radio
198.0,Childhood
198.0,Friendship
198.0,Funny
253.02,Personal Finance
253.02,Telephone
253.01,Economics
253.01,Terrorism
253.01,Theater
442.02,Children
442.02,Crime
442.02,Criminal Justice
442.02,Jobs/Employment
196.0,9/11
196.0,Government
196.0,Military
196.0,Terrorism
318.01,Crime
318.01,Criminal Justice
318.01,Fathers
318.01,Heroism
318.01,Murder
318.02,Heroism
318.03,Fiction
318.03,Food/Drinks/Cooking
318.03,Funny
318.03,Religion
416.03,Iraq
416.02,Iraq
416.02,Politics
416.01,Iraq
416.01,War
573.02,Friendship
194.0,9/11
194.0,Family
194.0,Fathers
194.0,New York
194.0,Terrorism
110.0,New York
159.21,Children
159.21,Family
159.21,Holidays
159.21,Mothers
159.21,Music
159.21,Parenting
429.01,Iraq
429.01,Military
429.01,War
614.02,Politics
339.01,Breakup
339.01,Divorce
339.01,Love
339.01,Music
339.01,Relationships
592.0,Greece
440.01,Activism
440.01,Education
440.01,Environment
440.01,Health Care/Medicine
440.01,Politics
440.02,Activism
440.02,Economics
440.02,Environment
440.02,Politics
40.0,Sports
293.02,Children
293.02,Family
293.02,Sexuality
293.03,Jobs/Employment
293.03,Science
293.01,Childhood
293.04,Teenagers
293.04,Writing
583.03,Regret
42.0,Friendship
42.0,Relationships
612.01,Relationships
612.01,Teenagers
612.03,Family
612.03,Mental Health
612.02,Politics
612.04,Friendship
380.01,Business
380.01,Economics
380.01,Housing
348.04,Education
348.04,Journalism
348.04,Live Performance
380.02,Adoption
380.02,Parenting
380.02,Travel
348.01,Comedy
348.01,Funny
348.01,Jobs/Employment
348.01,Writing
62.0,Business
62.0,Personal Finance
62.0,Retail/Commerce
348.02,Education
348.02,Teenagers
419.01,Crime
419.01,Jobs/Employment
60.0,Death
60.0,Poetry
382.01,Business
382.01,Economics
382.01,Government
336.01,Science
259.01,Childhood
259.01,Film/Film Making
259.02,Food/Drinks/Cooking
259.02,Religion
597.02,Family
597.01,Death
597.01,Family
597.01,Telephone
336.03,Health Care/Medicine
336.03,Mental Health
73.01,Art
73.01,Jobs/Employment
73.03,Death
73.03,Family
73.03,Fathers
73.03,Music
73.03,Poetry
73.02,Funny
73.02,Jobs/Employment
73.02,Live Performance
73.04,Jobs/Employment
73.04,Music
251.01,Religion
251.01,Writing
251.02,Activism
251.02,Politics
251.03,Crime
251.03,Murder
424.0,Children
424.0,Film/Film Making
424.0,Politics
366.21,Economics
366.21,Government
273.03,Film/Film Making
273.03,Travel
326.01,Education
326.01,Television
229.0,Government
326.02,Funny
225.03,Funny
225.03,Television
406.21,Cancer
406.21,Health Care/Medicine
406.21,Science
339.0,Breakup
339.0,Love
339.0,Relationships
500.02,Radio
348.0,Family
348.0,Funny
348.0,Holidays
348.0,Terrorism
330.21,Friendship
208.02,Holidays
208.02,Jobs/Employment
208.02,Live Performance
208.03,Business
208.03,Food/Drinks/Cooking
432.21,Environment
208.01,Business
152.01,Childhood
152.01,Death
152.01,Family
152.01,Fiction
152.01,Love
152.01,Marriage
152.01,Relationships
152.02,Love
152.02,Politics
152.02,Presidents
152.03,Fiction
152.03,Love
360.21,Family
360.21,History
337.0,Development
337.0,Iraq
337.0,War
219.0,Automobiles
219.0,Crime
219.0,Race
376.0,Fathers
376.0,Personal Finance
434.05,Natural Disasters
504.03,Education
504.03,Journalism
504.02,College
504.02,Education
504.02,War
504.01,College
504.01,Family
504.01,Funny
504.01,Teenagers
217.0,Politics
408.02,Health Care/Medicine
211.0,Health Care/Medicine
209.0,Family
209.0,Teenagers
378.0,Education
378.0,Radio
434.04,Family
434.04,Housing
434.04,Jobs/Employment
499.01,Immigration
499.01,Iraq
406.01,Education
406.01,Politics
201.0,Teenagers
346.0,Holidays
346.0,Housing
394.0,Food/Drinks/Cooking
463.0,Crime
463.0,Government
463.0,Politics
503.0,Criminal Justice
503.0,Legal System
344.0,Immigration
344.0,Jobs/Employment
207.0,Childhood
207.0,Education
342.0,Crime
342.0,Murder
342.0,Writing
364.0,Activism
364.0,Children
364.0,Education
364.0,New York
215.0,Automobiles
515.0,Business
515.0,Funny
233.0,Television
98.02,New York
98.02,Sports
231.0,Journalism
231.0,Love
98.01,Automobiles
98.01,New York
464.03,Cancer
464.03,Live Performance
390.0,Business
390.0,Economics
231.02,Teenagers
231.02,Telephone
231.03,Automobiles
203.0,Love
231.01,Jobs/Employment
231.01,Live Performance
231.04,Science
98.03,Jobs/Employment
98.03,Sports
308.01,Iraq
308.01,Love
308.01,Military
308.01,Relationships
446.0,Alcohol
446.0,Children
308.03,Animals
308.03,Fiction
308.03,Funny
308.03,Love
204.01,Health Care/Medicine
204.01,Sexuality
392.0,Business
392.0,Health Care/Medicine
444.0,Friendship
444.0,Funny
444.0,Marriage
444.0,Relationships
439.01,Government
439.01,Politics
439.02,Funny
439.02,Health Care/Medicine
439.02,Live Performance
439.03,Breakup
439.03,Divorce
439.03,Family
439.03,Holidays
439.03,Marriage
227.0,9/11
227.0,Government
227.0,Iraq
120.02,Childhood
120.02,Race
120.02,Religion
120.02,Teenagers
120.02,Theater
291.01,Family
291.01,Marriage
291.01,Relationships
291.02,Animals
291.02,Science
291.03,History
443.03,Jobs/Employment
443.03,Love
443.03,Teenagers
270.21,Education
270.21,Family
469.0,Health Care/Medicine
522.02,Mental Health
522.02,Sexuality
221.0,Family
221.0,Religion
501.0,Criminal Justice
501.0,Film/Film Making
507.02,Childhood
507.02,Crime
507.02,Criminal Justice
507.02,Police
507.01,Crime
507.01,Criminal Justice
507.01,Police
464.01,Fathers
464.01,Live Performance
464.01,Parenting
223.0,Journalism
223.0,Retail/Commerce
233.01,Jobs/Employment
233.01,Television
233.02,Addiction
233.02,Jobs/Employment
233.02,Retail/Commerce
200.01,Government
200.01,Military
200.01,Politics
200.01,War
38.01,Animals
38.01,History
38.01,Science
38.02,Education
38.02,History
38.02,Theater
38.03,Jobs/Employment
38.03,Radio
447.02,Crime
447.02,Drugs
447.02,Police
447.02,Television
229.03,9/11
229.03,Criminal Justice
229.03,Government
229.02,9/11
229.02,Government
229.02,Immigration
229.02,Terrorism
229.01,9/11
229.01,Criminal Justice
229.01,Government
229.01,Terrorism
524.01,Drugs
524.01,Family
524.01,Mental Health
524.03,Drugs
524.03,Funny
140.04,Business
140.04,Family
140.03,Automobiles
140.03,Family
140.03,Politics
140.02,Business
140.02,Death
140.02,Family
140.02,Food/Drinks/Cooking
140.02,Friendship
140.01,Business
140.01,Drugs
140.01,Family
140.01,Jobs/Employment
140.01,Labor
477.0,Travel
505.02,Children
505.02,Health Care/Medicine
129.0,Childhood
129.0,Friendship
129.0,Journalism
129.0,Live Performance
129.0,Love
367.02,Politics
367.03,Labor
367.03,Politics
367.03,Race
384.04,Family
384.04,Funny
308.02,High School
308.02,Love
384.01,Live Performance
127.01,Childhood
127.01,Jobs/Employment
127.01,Sexuality
127.02,Jobs/Employment
127.02,Sexuality
384.02,Criminal Justice
384.02,Iraq
384.02,Military
571.02,Comedy
571.01,Love
448.0,Science
448.0,Technology
432.01,Fathers
432.01,Religion
550.01,College
550.01,Education
139.0,Government
139.0,Politics
139.0,Presidents
39.0,Television
400.21,Education
400.21,Fathers
400.21,Natural Disasters
21.0,Friendship
21.0,Religion
125.0,Film/Film Making
125.0,Religion
142.01,Children
142.01,Education
142.01,Family
142.01,Mothers
142.01,Parenting
142.01,Teenagers
142.02,Children
142.02,Mothers
142.02,Parenting
142.02,Teenagers
494.0,Travel
300.03,Iraq
300.03,War
572.04,Family
572.04,LGBT
572.02,Afghanistan
509.0,Family
509.0,Mental Health
572.01,Family
448.01,Crime
448.01,Criminal Justice
448.01,Jobs/Employment
448.01,Police
448.01,Sports
448.01,Travel
448.02,Fiction
526.03,Children
526.03,Parenting
526.02,Breakup
526.02,Divorce
526.02,Family
526.02,Marriage
526.02,Relationships
526.01,Drugs
526.01,Family
526.01,Teenagers
615.0,Politics
490.0,Economics
490.0,Health Care/Medicine
137.0,Childhood
137.0,Literature
137.0,Theater
146.01,Development
146.01,Environment
617.0,Science
146.03,Animals
146.03,Childhood
146.03,Family
146.03,Siblings
146.02,Animals
146.02,Government
146.02,New York
146.02,Politics
146.05,Environment
146.05,Jobs/Employment
146.05,San Francisco
146.05,Travel
146.04,Animals
146.04,Children
146.04,Death
146.04,Siblings
146.04,Teenagers
316.02,Politics
316.03,Death
316.03,Family
316.03,Siblings
570.02,History
570.02,Israel
316.01,Cancer
316.01,Health Care/Medicine
316.04,Homelessness
316.04,Housing
316.04,Natural Disasters
363.02,Business
363.02,Economics
363.01,Crime
363.01,Criminal Justice
363.01,Technology
613.02,Family
613.01,Immigration
77.21,Family
77.21,Jobs/Employment
77.21,Religion
77.21,Siblings
324.02,Death
324.02,Family
324.02,Fathers
324.02,Science
324.01,Housing
324.01,Iraq
324.01,Journalism
418.04,Economics
418.01,Business
418.01,Economics
418.01,Retail/Commerce
418.03,Crime
418.03,Economics
522.01,Neighbors/Neighborhoods
143.0,Crime
143.0,Criminal Justice
143.0,Drugs
143.0,Government
143.0,Legal System
143.0,Politics
188.03,Children
188.03,Fiction
188.02,Childhood
188.02,Love
188.01,Children
188.01,Science
322.02,9/11
322.02,Business
87.03,Funny
87.03,Holidays
87.03,Literature
87.03,Live Performance
87.03,Religion
87.03,Television
188.04,Children
188.04,Family
188.04,Fathers
188.04,Health Care/Medicine
188.04,Mothers
188.04,Parenting
128.01,History
128.03,Animals
128.03,Friendship
128.02,Friendship
128.02,Love
128.04,Fiction
128.04,Immigration
128.04,Jobs/Employment
128.04,Marriage
128.04,Relationships
603.0,Sexual Assault
426.0,Family
426.0,Funny
426.0,Terrorism
365.02,Business
365.02,Economics
511.0,Mothers
365.03,Business
365.03,Economics
210.01,Criminal Justice
210.01,Police
210.01,Teenagers
387.21,Criminal Justice
387.21,Legal System
387.21,Terrorism
29.02,Funny
29.02,Politics
29.02,Presidents
29.02,Television
29.03,Funny
29.03,Politics
29.03,Presidents
29.03,Television
29.01,Journalism
29.01,Politics
476.04,Crime
155.0,Childhood
155.0,Television
476.03,Health Care/Medicine
476.03,Mental Health
476.02,Family
476.02,Health Care/Medicine
341.02,Parenting
341.02,Sexuality
341.02,Teenagers
