episode,malePercent,year,title,description,url
26,83.1733483907,1996,Father's Day '96,"
Ira's own father Barry Glass co-hosts this special father's day edition of the show. ",https://hw2.thisamericanlife.org/radio-archives/episode/26
27,91.7673823404,1996,The Cruelty of Children,"
Stories about kids being mean to each other... including a mysterious handbook for bullies, a surprising experiment conducted by a teacher who wants to make kids be nice, and a story of youthful backstabbing told by David Sedaris. ",https://hw2.thisamericanlife.org/radio-archives/episode/27
28,92.7657789893,1996,Detectives,"
Writer David Sedaris recalls the days when his mother and sister played armchair detective — until a very odd crime wave hit within their own home. Plus, host Ira Glass goes out on surveillance with a real-life private eye. ",https://hw2.thisamericanlife.org/radio-archives/episode/28
29,99.6413934426,1996,Bob Dole,"
Unusual perspectives on the presumptive Republican nominee. ",https://hw2.thisamericanlife.org/radio-archives/episode/29
30,37.4575520449,1996,Obsession,"
Stories of obsession and compulsion. What happens when a little idea starts to control you. Co-hosted by Paul Tough. ",https://hw2.thisamericanlife.org/radio-archives/episode/30
31,83.9004570848,1996,When You Talk About Music,"
Stories of people whose lives are transformed by music. ",https://hw2.thisamericanlife.org/radio-archives/episode/31
32,84.4995996797,1996,Republican Convention,"
Unusual stories about day-to-day life at the Republican Convention. ",https://hw2.thisamericanlife.org/radio-archives/episode/32
33,39.3466200945,1996,A Night at the Wiener Circle,"
Host Ira Glass spent a Saturday night — from 9:00 p.m. until dawn the next morning — at one of the most frenetic, joyous, efficient, angry, boisterous hot dog stands in the nation: Chicago's own Wiener Circle. ",https://hw2.thisamericanlife.org/radio-archives/episode/33
34,93.0122116689,1996,Democratic Convention,"
Unusual stories from the 1996 Democratic Convention in Chicago, with scenes and moments not documented elsewhere. ",https://hw2.thisamericanlife.org/radio-archives/episode/34
35,73.4645778456,1996,Fall Clearance Sale,"
Evocative, funny, emotional stories collected over the last few months that haven't fit into any of our regular ""theme"" shows. ",https://hw2.thisamericanlife.org/radio-archives/episode/35
36,72.0607565357,1996,Letters,"
Host Ira Glass and playwright David Hauptschein took out advertisements in Chicago inviting people to come to a small theater with letters they've received, sent or found. ",https://hw2.thisamericanlife.org/radio-archives/episode/36
37,96.2386332323,1996,The Job That Takes Over Your Life,"
Radio producer Scott Carrier quit his job at a low moment in his life. His wife left him and took the kids. And he got a job interviewing schizophrenics for some medical researchers. After doing it a while, he began to wonder if he was a schizophrenic himself. And more stories. ",https://hw2.thisamericanlife.org/radio-archives/episode/37
38,97.6418761337,1996,Simulated Worlds,"
Simulated worlds, Civil war reenactments, wax museums, simulated coal mines, fake ethnic restaurants, an ersatz Medieval castle and other re-created worlds that thrive all across America. (4 minutes) ",https://hw2.thisamericanlife.org/radio-archives/episode/38
39,24.3017256716,1996,Halloween,"
This week: A show for Halloween. Stories of things that are supposed to be scary, but aren't. ",https://hw2.thisamericanlife.org/radio-archives/episode/39
40,81.6411284548,1996,Lessons,"
Stories from acclaimed storyteller Spalding Gray and others. ",https://hw2.thisamericanlife.org/radio-archives/episode/40
41,90.4994306166,1996,Politics,"
More stories of the election you can't hear anywhere else. ",https://hw2.thisamericanlife.org/radio-archives/episode/41
42,95.923180593,1996,Get Over It!,"
Three stories of people trying to forget the past and move on. ",https://hw2.thisamericanlife.org/radio-archives/episode/42
43,24.1602067183,1996,Faustian Bargains,"
Inspired by a spate of new Chicago stage adaptations of the Faust story, This American Life brings you stories of people who made a deal with the devil. ",https://hw2.thisamericanlife.org/radio-archives/episode/43
44,46.9553706505,1996,Poultry Slam 1996,"
In the midst of the five biggest poultry-consumption weeks of the year—the five weeks between Thanksgiving and Christmas, when Americans consume one-fourth of all the turkey they eat in a year—This American Life presents stories about turkeys, chickens, ducks, and fowl of all kinds. ",https://hw2.thisamericanlife.org/radio-archives/episode/44
45,44.0379746835,1996,Media Fringe,"
Four stories about people struggling at the fringes of our nation's media/music/infotainment industry. ",https://hw2.thisamericanlife.org/radio-archives/episode/45
46,74.5255972696,1996,Sissies,"
Though being gay no longer has much of a stigma in some parts of the country, being a sissy still does — even among gay men. In this show we have a number of surprising and unusual stories of sissies, their families, and why people still get so upset about them. ",https://hw2.thisamericanlife.org/radio-archives/episode/46
47,98.7748035691,1996,Christmas and Commerce,"
Stories about the intersection of Christmas and retail, including David Sedaris's story ""Santaland Diaries,"" which was first broadcast on NPR's Morning Edition many years ago in a much shorter version. ",https://hw2.thisamericanlife.org/radio-archives/episode/47
48,45.4437869822,1997,Justice,"
Kitty Felde shows a side of the Yugoslav War Crimes Trials that hasn't been discussed anywhere: a portrait of Americans at the International Tribunal. And other stories. ",https://hw2.thisamericanlife.org/radio-archives/episode/48
49,53.4030010718,1997,Animals,"
Stories about the animalness of animals, the irreducible ways in which they are not human. ",https://hw2.thisamericanlife.org/radio-archives/episode/49
50,67.541660522,1997,Shoulda Been Dead,"
Kevin Kelly was in Jerusalem. For reasons too complicated to go into here, he ended up sleeping on the spot where Jesus was supposedly crucified. After Kevin awoke, the thought came into his head: Live as if you'll die in six months. So he did. ",https://hw2.thisamericanlife.org/radio-archives/episode/50
51,91.444429403,1997,"Animals Die, People Ponder","
Stories of people who handle dead animals. Don't worry — it's not as gross as it sounds. In fact, not disgusting at all. A story by George Saunders about an animal control man who falls in unrequited love. A woman who studies illuminated manuscripts, whose pages look like paper but are in fact animals. And other stories. ",https://hw2.thisamericanlife.org/radio-archives/episode/51
52,58.6427478793,1997,Edge of Sanity,"
Stories about the border between mental health and mental illness. ",https://hw2.thisamericanlife.org/radio-archives/episode/52
53,77.9697293992,1997,Valentine's Day '97,"
For Valentine's Day, stories about our parents falling in love. And troubles with their love. From Hilton Als, Scott Carrier, Julie Showalter, a magazine column called Men My Mother Dated and others. The idea for this show was inspired by Delmore Schwartz's classic 1937 work of American fiction about his parents' courtship: In Dreams Begin Responsibilities and Other Stories. ",https://hw2.thisamericanlife.org/radio-archives/episode/53
54,85.0972947318,1997,Sinatra,"
Stories, tributes, and attempts to understand the Chairman of the Board. ",https://hw2.thisamericanlife.org/radio-archives/episode/54
55,10.2653111827,1997,Three Women and the Sex Industry,"
A few months ago, radio producer Sandy Tolan was supposed to do a documentary about strippers with an aspiring writer — and stripper — named Susan. A few days before they were to begin working together, Susan disappeared, presumed dead. ",https://hw2.thisamericanlife.org/radio-archives/episode/55
56,75.5323533452,1997,Name Change,"
Stories of people changing their name — some to create a new identity, some to con people. Name changes are particularly American stories: they're the dream of starting over with a clean slate. They're Ellis Island and 12-step programs, the move westward and self help, Marilyn Monroe and Malcolm X and the Artist Formerly Known as Prince, all rolled up in one. ",https://hw2.thisamericanlife.org/radio-archives/episode/56
57,81.0982191042,1997,Delivery,"
Stories about the delivery business and the people in it. UPS men, bike messengers, FedEx dispatchers.
NOTE: This episode originally included a story by reporter Stephen Glass, which we have removed because of questions about its truthfulness. This story is included in the transcript only for reference. ",https://hw2.thisamericanlife.org/radio-archives/episode/57
58,27.7424819992,1997,Small Towns,"
Stories of small town life: the claustrophobia and freedom people feel in small towns, the yearning people feel in small towns. And three teenagers in one of the harshest urban environments explain how the public housing projects are like a small town. ",https://hw2.thisamericanlife.org/radio-archives/episode/58
59,41.0862619808,1997,Fire,"
Stories about people who are not afraid of fire, though perhaps they should be. ",https://hw2.thisamericanlife.org/radio-archives/episode/59
60,87.7098413676,1997,Business of Death,"
Usually we talk about death as a tragedy, a mystery, a hard-to-comprehend fact of life. But in addition to all that, for all sorts of people it's also ... a job. ",https://hw2.thisamericanlife.org/radio-archives/episode/60
61,81.4639105388,1997,Fiasco!,"
Stories of when things go wrong. Really wrong. When you leave the normal realm of human error, fumble, mishap, and mistake and enter the territory of really huge breakdowns. Fiascos. Things go so awry that normal social order collapses. This week's show is a philosophical inquiry in the nature of fiascos — perhaps the first ever. ",https://hw2.thisamericanlife.org/radio-archives/episode/61
62,81.490420878,1997,Something for Nothing,"
Stories of people trying to get rich quick or otherwise make something for nothing. As everyone knows, there's no such thing as something for nothing. You always pay a price. ",https://hw2.thisamericanlife.org/radio-archives/episode/62
63,100.0,1997,One Thing,"
People whose lives are organized around one thing. ",https://hw2.thisamericanlife.org/radio-archives/episode/63
64,87.5338404022,1997,Summer,"
Stories for the start of summer. We want summer to be this wonderful break, but so often it fails to deliver. We hear Ron Carlson's short story about a summer job delivering tanks of oxygen to the infirm, Scott Carrier takes a river vacation, and more. ",https://hw2.thisamericanlife.org/radio-archives/episode/64
65,76.3177000145,1997,Who's Canadian?,"
Notes and stories about the Canadians among us. Are they in fact any different from red-blooded Americans? They claim they're not. Skeptical Americans put their position to the test. ",https://hw2.thisamericanlife.org/radio-archives/episode/65
66,46.9209633102,1997,Tales from the Net,"
Are people having experiences on the Internet they wouldn't have anywhere else? Several weeks ago, This American Life invited listeners to help answer that question. ",https://hw2.thisamericanlife.org/radio-archives/episode/66
67,72.5803993294,1997,"Your Dream, My Nightmare","
Could it be more obvious? Stories in which someone's dream is someone else's nightmare. All of us get into these situations with strangers, with the people we love most, with our own parents, with our children. ",https://hw2.thisamericanlife.org/radio-archives/episode/67
68,68.0358692508,1997,Lincoln's Second Inaugural,"
A show for July 4th weekend. We begin with perhaps the most moving, poetic inaugural speech in American history, and look at its legacy today. In his second inaugural address, Lincoln wondered aloud why God saw fit to send the slaughter of the Civil War to the United States. His conclusion: that slavery was a kind of original sin for the United States, for both North and South, and all Americans had to do penance for it. ",https://hw2.thisamericanlife.org/radio-archives/episode/68
69,48.0766723171,1997,Dream House,"
How many of our parents move to some place — some dream house — with some vision of a new life in the new place, and move the family with them, hoping it works out for the kids. Three stories on this theme. ",https://hw2.thisamericanlife.org/radio-archives/episode/69
70,46.9798657718,1997,Other People's Mail,"
When you read other people's mail, you can't help but try to fill in between the lines. You try to decipher the stories of the people who wrote the letters. We hear four stories of people who read other people's mail, and what happens to them once they get caught up in these other lives. ",https://hw2.thisamericanlife.org/radio-archives/episode/70
71,100.0,1997,Defying Sickness,"
Stories of people trying to do exactly what the doctors say they can't — or shouldn't. ",https://hw2.thisamericanlife.org/radio-archives/episode/71
72,87.4427244582,1997,Trek,"
An idiosyncratic first-person travelogue about race relations and tourism from radio producer Rich Robinson and television producer Josh Seftel. Their radio story is about a trip they took to the new South Africa. Rich Robinson is black. Josh Seftel is white. The interracial pair travel through the still mostly-segregated society and have very different opinions about what they see, especially when it comes to some distant relatives of Josh's in South Africa. ",https://hw2.thisamericanlife.org/radio-archives/episode/72
73,83.669084072,1997,Blame It on Art,"
The darker side of the art world: petty jealousies, competitiveness, failure. And also what's so great about art. ",https://hw2.thisamericanlife.org/radio-archives/episode/73
74,93.4060566591,1997,Conventions,"
What happens when people with one common interest gather in monstrous, fluorescent -lit halls for the weekend? Sometimes they drive each other crazy, sometimes they fall in love. ",https://hw2.thisamericanlife.org/radio-archives/episode/74
75,85.1436857369,1997,Kindness of Strangers,"
Stories of the kindness of strangers and where it leads. Also, the unkindness of strangers and where that can lead. All of today's stories take place in the city most people think of as the least kind city in America: New York. ",https://hw2.thisamericanlife.org/radio-archives/episode/75
76,41.181736795,1997,Mob,"
The mob as portrayed in movies, and as it is in real life. And its hold over us. ",https://hw2.thisamericanlife.org/radio-archives/episode/76
77,42.0261691929,1997,Pray,"
Can the secular world and the religious world understand each other? ",https://hw2.thisamericanlife.org/radio-archives/episode/77
78,93.2651622003,1997,How Bad Is Bad?,"
How bad is bad enough to count? To go to hell? ",https://hw2.thisamericanlife.org/radio-archives/episode/78
79,63.0578822353,1997,Stuck in the Wrong Decade,"
People stuck in the wrong decade — or simply carrying a lot of the props from another decade.
NOTE: This episode originally included a story by reporter Stephen Glass (no relation to Ira), which we have removed because of questions about its truthfulness. This story is included in the transcript only for reference. ",https://hw2.thisamericanlife.org/radio-archives/episode/79
80,99.9751181886,1997,Running After Antelope,"
Stories of people engaged in a battle with nature — a battle they don't stand much chance of winning. Most of the show is Scott Carrier's story of trying for twelve years to chase down and catch an antelope by foot. ",https://hw2.thisamericanlife.org/radio-archives/episode/80
81,61.769570011,1997,Guns,"
Americans who love their guns...and the Americans who love them. ",https://hw2.thisamericanlife.org/radio-archives/episode/81
82,64.2549800797,1997,Haunted,"
Stories of people who are haunted, not by ghosts or phantoms, but by other people. ",https://hw2.thisamericanlife.org/radio-archives/episode/82
83,67.3927480409,1997,One of Us,"
Stories of outsiders who want to be insiders, and vice versa. ",https://hw2.thisamericanlife.org/radio-archives/episode/83
84,85.8894548198,1997,Harold,"
A parable of politics and race in America. The story of Chicago's first black mayor, Harold Washington, told two decades after his death. Washington died on November 25, 1987. ",https://hw2.thisamericanlife.org/radio-archives/episode/84
85,75.7867820614,1997,Poultry Slam 1997,"
Humans have turned chicken and turkey into what we want them to be. Which means that chickens and turkeys are a mirror of ourselves. ",https://hw2.thisamericanlife.org/radio-archives/episode/85
86,56.8683177697,1997,How to Take Money from Strangers,"
Two stories of how to get money from strangers. In both stories, the money is made by people who make the strangers feel good about themselves and about their nation.
NOTE: This episode originally included a story by reporter Stephen Glass, which we have removed because of questions about its truthfulness. This story is included in the transcript only for reference. ",https://hw2.thisamericanlife.org/radio-archives/episode/86
87,60.9136331192,1997,A Very Special Sedaris Christmas,"
Stories from David Sedaris's book of Christmas stories, Holidays on Ice, read onstage by David, Julia Sweeney and actor Matt Malloy. ",https://hw2.thisamericanlife.org/radio-archives/episode/87
88,97.3370707779,1998,Numbers,"
Numbers lie. Numbers cover over complicated feelings and ambiguous situations. In this week's show, stories of people trying to use numbers to describe things that should not be quantified. ",https://hw2.thisamericanlife.org/radio-archives/episode/88
89,50.0910746812,1998,Sibling Rivalry,"
Stories about people who are destined to fight: brothers and sisters. ",https://hw2.thisamericanlife.org/radio-archives/episode/89
90,75.8204081633,1998,Telephone,"
Stories of who we are on the phone, of things we learn on the phone, and of things that happen on the phone that don't happen anywhere else. ",https://hw2.thisamericanlife.org/radio-archives/episode/90
91,72.9426971133,1998,Escape the Box,"
Stories of people trying to escape the box of their own lives, and create new lives. ",https://hw2.thisamericanlife.org/radio-archives/episode/91
92,56.4702982499,1998,Leave the Mask On,"
Stories about those moments when someone tries to tell you a little bit more about themselves than you'd really rather know. ",https://hw2.thisamericanlife.org/radio-archives/episode/92
93,85.6725146199,1998,Valentine's Day '98,"
Stories about couples that all take place decades after that moment their eyes first meet. ",https://hw2.thisamericanlife.org/radio-archives/episode/93
94,56.955922865,1998,How To,"
What happens during a ""how-to,"" and what our how-to's say about us. Most how-to's promise that you'll not only learn skills, you'll be transformed. ",https://hw2.thisamericanlife.org/radio-archives/episode/94
95,93.6230248307,1998,Monogamy,"
How should we react to people who are in non-monogamous relationships? What should we think of these struggles with monogamy? ",https://hw2.thisamericanlife.org/radio-archives/episode/95
96,100.0,1998,Pinned by History,"
People who left their private lives and were seized by some huge historical moment. ",https://hw2.thisamericanlife.org/radio-archives/episode/96
97,78.5350809561,1998,Death to Wacky,"
An assault on the idea of wackiness. And then, an appreciation of wackiness, and an analysis of wackiness in American culture. Thirteen ways to describe wackiness. ",https://hw2.thisamericanlife.org/radio-archives/episode/97
98,49.1174920969,1998,Throwing the First Punch,"
Stories about what it means to be a person who throws the first punch ... and how hard it is to give up. ",https://hw2.thisamericanlife.org/radio-archives/episode/98
99,35.1537884471,1998,"I Enjoy Being A Girl, Sort Of","
Variations on what it means to be a girl and what it means to be a woman. ",https://hw2.thisamericanlife.org/radio-archives/episode/99
100,83.1033895418,1998,Radio,"
For the 100th episode of This American Life, a radio show about the pleasures of radio. About what makes radio so great ... and what makes it so terrible. ",https://hw2.thisamericanlife.org/radio-archives/episode/100
101,69.1458733205,1998,Niagara,"
During this hour, a special edition of our show: Stories about Niagara Falls, half of them from documentary producer Alix Spiegel, who went to the Falls and interviewed people living there; and half from playwright David Kodeski, who grew up in the town of Niagara Falls. ",https://hw2.thisamericanlife.org/radio-archives/episode/101
102,44.1899710704,1998,Road Trip!,"
With all the American movies and songs and books about the joy of the open road, it's hard for an American to take just a normal road trip without huge expectations. ",https://hw2.thisamericanlife.org/radio-archives/episode/102
103,9.79751796212,1998,Scenes from A Transplant,"
An NPR reporter leaves her three-year-old son and heads to Omaha—for cancer treatment—a last chance to save her life. After years of covering stories about medicine, Rebecca Perl enters the hospital as a patient. She moves from the world of healthy people into the world of sick ones. What she sees and what she learns. ",https://hw2.thisamericanlife.org/radio-archives/episode/103
104,35.6283996565,1998,Music Lessons,"
What's frustrating about music lessons, what's miraculous about them, and what they actually teach us. This show was recorded in front of a live audience at the Yerba Buena Center for the Arts in San Francisco, with help from KQED-FM, during the 1998 Public Radio Conference in San Francisco. ",https://hw2.thisamericanlife.org/radio-archives/episode/104
105,68.8652375956,1998,Take A Negro Home,"
Two stories of people who try to cross the color line — and why it's still so hard. We hear the story of a failed interracial marriage and the story of a teenager from a poor inner city neighborhood (Cedric Jennings, pictured) who ends up at an Ivy League University — and how he barely survives there. ",https://hw2.thisamericanlife.org/radio-archives/episode/105
106,74.3685087832,1998,Father's Day '98,"
For this Father's Day, stories in which fathers and their kids sit down and try to have an honest moment together. And stories about fathers who aren't close with their kids. ",https://hw2.thisamericanlife.org/radio-archives/episode/106
107,10.8455374413,1998,Trail of Tears,"
Writer Sarah Vowell and her twin sister re-trace the ""Trail of Tears"" — the route their Cherokee ancestors took when expelled from their own land by President Andrew Jackson. ",https://hw2.thisamericanlife.org/radio-archives/episode/107
108,57.0209464701,1998,Truth and Lies at Age Ten,"
Two stories of children lying to themselves and others. A woman who'd been diagnosed with cystic fibrosis talks about the lies she told herself as a child. And Dan Gediman tells the story of how he was cast in the public TV show Zoom, which aired from 1972 to 1979, at the age of ten. Then he was cut from the cast before the show ever went on the air. So for years, he lied about it. He let friends believe he was on Zoom. ",https://hw2.thisamericanlife.org/radio-archives/episode/108
109,35.4175776126,1998,Notes on Camp,"
Stories of summer camp. People who love camp say that non-camp people simply don't understand what's so amazing about camp. In this program, we attempt to bridge the gap of misunderstanding between camp people and non-camp people. ",https://hw2.thisamericanlife.org/radio-archives/episode/109
110,70.3502415459,1998,Mapping,"
Five ways of mapping the world. One story about people who make maps the traditional way — by drawing things we can see. And other stories about people who map the world using smell, sound, touch, and taste. The world redrawn by the five senses. ",https://hw2.thisamericanlife.org/radio-archives/episode/110
111,90.7156024803,1998,Adventures in the Simple Life,"
I thought this was supposed to be easy. Tales from the simple life. ",https://hw2.thisamericanlife.org/radio-archives/episode/111
112,56.4820185615,1998,Ladies and Germs,"
Germs, and how they make us leave the world of rational thinking. ",https://hw2.thisamericanlife.org/radio-archives/episode/112
113,56.64826317,1998,Windfall,"
What happens when you suddenly strike it rich. And the power money has over our lives, for good and bad. ",https://hw2.thisamericanlife.org/radio-archives/episode/113
114,70.5638474295,1998,Last Words,"
Stories of people's last words before death. Their one last shot at figuring things out, summing things up. One last moment of asserting the fact of our existence, at the moment of our annihilation. ",https://hw2.thisamericanlife.org/radio-archives/episode/114
115,78.7414500684,1998,First Day,"
Stories of the first day on the job, the first day in a relationship, the first day in school. On the first day, any first day, we're expected to live by the rules and customs of the culture we're entering, but we don't know those rules and customs just yet. ",https://hw2.thisamericanlife.org/radio-archives/episode/115
116,85.1018220793,1998,Poultry Slam 1998,"
For Thanksgiving, the time of year when poultry consumption is highest, it's our annual program about turkeys, chickens, and fowl of all types. ",https://hw2.thisamericanlife.org/radio-archives/episode/116
117,51.1790949649,1998,You Gonna Eat That?,"
The family table is stage on which many family dramas are played out. We hear three stories...of three families...at three meals. ",https://hw2.thisamericanlife.org/radio-archives/episode/117
118,38.7131367292,1998,What You Lookin' At?,"
Stories about seeing and being seen. Taped before a live audience in Town Hall in New York City in December 1998, this was a co-production with WNYC New York, featuring live music by the pop band They Might Be Giants and the This American Life Orchestra. ",https://hw2.thisamericanlife.org/radio-archives/episode/118
119,70.5979016559,1999,Lockup,"
With the number of prisoners in the United States rising rapidly, we present stories of their lives and the lives of their families and children. ",https://hw2.thisamericanlife.org/radio-archives/episode/119
120,58.6863583366,1999,Be Careful Who You Pretend to Be,"
Three stories of people pretending to be something they're not, and what happens to them. ",https://hw2.thisamericanlife.org/radio-archives/episode/120
121,33.1443362505,1999,Twentieth Century Man,"
One thing that makes our country different from most others is this idea that you can re-create yourself as someone you'd prefer to be...sell everything off, head out west, start a new life.  But what happens if you're too good at it?  At throwing everything out and starting over?
",https://hw2.thisamericanlife.org/radio-archives/episode/121
122,30.5628158216,1999,Valentine's Day '99,"
For Valentine's Day, stories of impossible love and heartbreak. ",https://hw2.thisamericanlife.org/radio-archives/episode/122
123,69.3022590792,1999,High Cost of Living,"
Stories of people who choose not to live every moment to the fullest or smell the roses, and instead choose to withdraw from life, to make themselves numb. ",https://hw2.thisamericanlife.org/radio-archives/episode/123
124,93.3797393365,1999,Welcome to America,"
Stories of people moving to this country: what they see and hear about America that those of us who were born here don't necessarily see. ",https://hw2.thisamericanlife.org/radio-archives/episode/124
125,42.0580853352,1999,Apocalypse,"
Stories of the end of the world. More people believe it's more imminent than you probably realize. ",https://hw2.thisamericanlife.org/radio-archives/episode/125
126,78.5302879841,1999,Do-Gooders,"
Stories of people trying to do good: Why they often fail and why they occasionally succeed. ",https://hw2.thisamericanlife.org/radio-archives/episode/126
127,88.4035759898,1999,Pimp Anthropology,"
This entire show is devoted to just one story. A former pimp tells how he and three childhood friends became pimps in the 1970s in Oakland, California. He explains all the elaborate ""rules of the game"" among pimps and prostitutes of that era. He didn't have the stomach for the violence of pimping, and failed as a pimp because of that. Tamar Brott reports. ",https://hw2.thisamericanlife.org/radio-archives/episode/127
128,32.9882413088,1999,Four Corners,"
There's a tourist monument called Four Corners, where Arizona, Colorado, Utah and New Mexico meet. In this episode, we try to tell the story of life in America through portraits of life on four different corners, in four different states across the nation. ",https://hw2.thisamericanlife.org/radio-archives/episode/128
129,52.7747747748,1999,Advice,"
A program taped before live audiences in Seattle (thanks to public radio station KUOW) and at HBO's U.S. Comedy Arts Festival in Aspen. A taxonomy of different kinds of advice—and stories that illustrate why advice is so rarely taken. ",https://hw2.thisamericanlife.org/radio-archives/episode/129
130,74.5061147695,1999,Away From Home,"
Stories of people going home to places they've never been before. ",https://hw2.thisamericanlife.org/radio-archives/episode/130
131,89.7307635722,1999,The Kids Are Alright,"
Stories in which young people take matters into their own hands: Students who become political activists, students who pull pranks, violent students. Broadcast for the tenth anniversary of the crackdown at Tiananmen Square. ",https://hw2.thisamericanlife.org/radio-archives/episode/131
132,84.6985631758,1999,Father's Day '99,"
For Father's Day, stories about fathers going out of their way to protect their kids, and kids going out of their way to protect their fathers. ",https://hw2.thisamericanlife.org/radio-archives/episode/132
133,77.0109414452,1999,Sales,"
Consider for a moment all the art forms that began in America: jazz, the blues, musical theater, rock n' roll, phonograph recordings, television, motion pictures, video games. But the art form in which America leads the world—more than any other—is the art of selling. In this show: case examples to prove the point. ",https://hw2.thisamericanlife.org/radio-archives/episode/133
134,83.7080210935,1999,We Didn't,"
Stories about what happens when we don't do something. It turns out that not falling in love, not doing our jobs, not spending time with our families is every bit as vivid and complicated an experience as doing something. ",https://hw2.thisamericanlife.org/radio-archives/episode/134
135,48.2974195265,1999,Allure of Crime,"
We think of crime as a kind of monolithic, menacing presence. But there are many kinds of crimes and many kinds of criminals. Through our crimes, we express who we are. Today we hear of three different criminals and three different kinds of crimes. ",https://hw2.thisamericanlife.org/radio-archives/episode/135
136,71.038114343,1999,You Are Here,"
Three stories, three people, and three sets of maps. Stories of people trying to figure out where they are in the world in the most literal and least literal ways possible. We explore what it's like to be lost—how we all struggle in that moment not to give ourselves over to fear but try to enjoy it. ",https://hw2.thisamericanlife.org/radio-archives/episode/136
137,49.9930294159,1999,The Book That Changed Your Life,"
Stories of people who believe a book changed their life. It's a romantic notion, and one reason we believe it is because we want to believe our lives can be changed by something so simple as an idea — or a set of ideas contained in a book. ",https://hw2.thisamericanlife.org/radio-archives/episode/137
